City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,georgetown,5.4112,100.3354,26.97,89,20,0.0,MY,1683237624
159,haiku-pauwela,20.9219,-156.3051,28.01,45,40,9.26,US,1683237879
160,poronaysk,49.2167,143.1167,3.95,52,12,4.53,RU,1683237879
161,as sulayyil,20.4607,45.5779,29.14,16,13,4.17,SA,1683237879
162,nanma,36.1817,118.1583,14.2,95,100,2.3,CN,1683237879
163,ponta delgada,37.7333,-25.6667,17.4,100,75,7.2,PT,1683237879
164,rawson,-43.3002,-65.1023,14.39,64,100,3.17,AR,1683237593
165,tateyama,34.9833,139.8667,18.78,75,60,9.71,JP,1683237880
166,conduaga,8.862,117.4893,26.75,84,96,0.43,PH,1683237880
167,anchorage,61.2181,-149.9003,8.85,69,100,2.68,US,1683237779
168,fukuecho,32.6881,128.8419,19.54,86,99,11.92,JP,1683237880
169,zossen,52.2167,13.45,13.9,62,0,3.6,DE,1683237880
170,mount gambier,-37.8333,140.7667,10.92,86,100,3.64,AU,1683237881
171,wynne,35.2245,-90.7868,22.99,48,100,2.37,US,1683237609
172,port alfred,-33.5906,26.891,17.32,88,54,1.79,ZA,1683237881
173,safi,32.1667,-8.8333,16.74,78,47,8.69,MA,1683237881
174,arno,60.1167,18.6333,2.1,58,6,1.71,SE,1683237881
175,roma,43.2128,-75.4557,11.64,85,100,2.07,US,1683237599
176,st. john's,47.5649,-52.7093,3.42,98,100,11.32,CA,1683237712
177,guerrero negro,27.9769,-114.0611,18.8,52,0,8.5,MX,1683237882
178,daru,-9.0763,143.2092,26.52,91,100,6.97,PG,1683237882
179,nurota,40.5614,65.6886,10.64,25,45,3.64,UZ,1683237882
180,okakarara,-20.5833,17.4333,20.2,31,20,2.77,NA,1683237882
181,sos'va,59.1766,61.8558,10.25,92,84,1.63,RU,1683237883
182,tadine,-21.55,167.8833,25.96,78,2,3.23,NC,1683237883
183,kapchorwa,1.3965,34.4509,13.58,86,77,1.63,UG,1683237883
184,awjilah,29.1081,21.2869,17.29,65,0,3.46,LY,1683237883
185,pangody,65.85,74.4859,0.82,99,100,4.41,RU,1683237883
186,mahajanga,-15.7167,46.3167,26.01,89,20,1.54,MG,1683237884
187,mount pearl,47.5166,-52.7813,2.96,98,100,11.32,CA,1683237884
188,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,100,100,5.0,RU,1683237785
189,ciudad lazaro cardenas,17.9583,-102.2,30.17,60,100,5.59,MX,1683237884
190,aktau,43.65,51.2,12.32,92,100,11.26,KZ,1683237884
191,serenje,-13.2325,30.2352,12.71,81,0,1.95,ZM,1683237884
192,kihancha,-1.1838,34.6262,17.89,89,100,1.76,KE,1683237679
193,barra de santo antonio,-9.4047,-35.5072,25.6,84,2,3.52,BR,1683237741
194,lima,-12.0432,-77.0282,23.28,81,75,5.66,PE,1683237561
195,afaahiti,-17.75,-149.2833,28.93,86,79,9.55,PF,1683237885
196,fale old settlement,-9.3852,-171.2468,28.87,76,13,7.84,TK,1683237885
197,mao,39.8885,4.2658,16.31,94,0,2.06,ES,1683237885
198,la rinconada,37.4873,-5.9826,24.1,54,0,2.06,ES,1683237886
199,porto novo,6.4965,2.6036,27.4,80,11,2.55,BJ,1683237886
200,kourou,5.1552,-52.6478,28.03,84,32,2.68,GF,1683237608
201,port-vila,-17.7338,168.3219,26.78,83,20,0.51,VU,1683237886
202,labrador city,52.9463,-66.9114,10.95,50,40,4.12,CA,1683237610
203,rio grande,-32.035,-52.0986,20.06,90,99,6.15,BR,1683237886
204,tuburan,6.6439,122.2736,26.05,76,100,1.88,PH,1683237887
205,tolanaro,-25.0319,46.9987,23.04,73,20,6.17,MG,1683237887
206,nandikotkur,15.8667,78.2667,26.8,72,100,3.64,IN,1683237887
207,severo-yeniseyskiy,60.3725,93.0408,2.97,90,100,6.2,RU,1683237887
208,petatlan,17.5167,-101.2667,32.55,48,100,2.88,MX,1683237887
209,sinop,41.7711,34.8709,11.76,72,78,2.82,TR,1683237888
210,sorong,-0.8833,131.25,26.54,81,97,1.58,ID,1683237888
211,saudarkrokur,65.7461,-19.6394,7.99,66,77,6.42,IS,1683237693
212,pandan,14.0453,124.1694,26.72,88,66,4.19,PH,1683237888
213,markovo,57.3206,107.0881,-1.22,90,14,1.49,RU,1683237888
214,yangjiang,21.85,111.9667,25.0,94,74,2.72,CN,1683237626
215,tazovsky,67.4667,78.7,-2.56,98,100,3.8,RU,1683237889
216,muriti,-1.9833,32.9167,22.28,72,30,1.21,TZ,1683237889
217,corinto,37.9407,22.9573,16.05,84,100,1.44,GR,1683237889
218,whitehorse,60.7161,-135.0538,8.43,28,75,1.03,CA,1683237769
219,port shepstone,-30.7414,30.455,19.67,81,50,6.13,ZA,1683237890
220,nadi,-17.8,177.4167,30.0,62,20,4.12,FJ,1683237890
221,saint-francois,46.4154,3.9054,16.69,72,75,1.03,FR,1683237890
222,kapuskasing,49.4169,-82.4331,14.0,47,75,4.12,CA,1683237890
223,remire-montjoly,4.9167,-52.2667,28.02,69,75,5.66,GF,1683237837
224,tannum sands,-23.9504,151.3693,19.3,72,0,3.6,AU,1683237891
225,conception bay south,47.4999,-52.9981,3.29,97,100,7.83,CA,1683237607
226,moberly,39.4184,-92.4382,24.99,20,0,5.66,US,1683237849
227,karbala,32.616,44.0249,22.68,23,0,4.98,IQ,1683237891
228,thongwa,16.7619,96.5278,27.09,59,2,1.33,MM,1683237891
229,port hedland,-20.3167,118.5667,23.03,46,100,3.09,AU,1683237891
230,kenora,49.8167,-94.4337,15.54,38,75,5.14,CA,1683237892
231,kiruna,67.8557,20.2251,-3.49,59,75,2.57,SE,1683237892
232,amahai,-3.3333,128.9167,28.38,86,97,1.72,ID,1683237892
233,badger,64.8,-147.5333,9.44,42,75,1.54,US,1683237892
234,san luis de la loma,17.2706,-100.8939,31.85,52,95,3.65,MX,1683237892
235,east london,-33.0153,27.9116,19.35,82,86,4.69,ZA,1683237892
236,huancavelica,-12.7667,-74.9833,7.67,65,85,2.83,PE,1683237893
237,keflavik,64.0049,-22.5624,7.95,87,100,5.66,IS,1683237893
238,taroa,8.7058,171.2275,26.52,84,100,4.27,MH,1683237893
239,perambalur,11.2333,78.8833,26.29,82,100,2.45,IN,1683237893
240,arar,30.9753,41.0381,20.01,14,0,2.57,SA,1683237858
241,vorgashor,67.5833,63.95,-0.87,94,100,8.17,RU,1683237894
242,manadhoo,5.7667,73.3833,28.26,72,100,7.12,MV,1683237894
243,mukalla,14.5425,49.1242,29.63,68,74,0.56,YE,1683237894
244,mar del plata,-38.0023,-57.5575,17.83,52,0,2.06,AR,1683237894
245,sittwe,20.15,92.9,26.68,61,23,4.13,MM,1683237894
246,suva,-18.1416,178.4415,28.71,70,75,5.14,FJ,1683237894
247,smithers,54.7804,-127.1743,21.18,30,20,1.54,CA,1683237895
248,nasrullahganj,22.6833,77.2667,27.38,50,28,1.91,IN,1683237895
249,markha,62.1053,129.7269,2.98,65,0,4.0,RU,1683237895
250,trikala,39.5553,21.7675,12.69,84,100,2.02,GR,1683237895
251,scarborough,54.2797,-0.4044,8.21,90,100,2.24,GB,1683237337
252,polyarnyy,69.1989,33.4478,-2.0,72,100,5.6,RU,1683237669
253,delmas,18.5447,-72.3028,30.4,66,40,4.12,HT,1683237896
254,auki,-8.7676,160.7034,28.81,73,12,2.32,SB,1683237896
255,illizi,26.4833,8.4667,26.89,13,87,2.27,DZ,1683237896
256,fort st. john,56.2499,-120.8529,18.94,30,75,1.54,CA,1683237622
257,aksu,41.1231,80.2644,7.63,56,100,6.64,CN,1683237896
258,nemuro,43.3236,145.575,9.76,77,100,5.68,JP,1683237897
259,chake chake,-5.2459,39.7666,24.8,85,12,4.99,TZ,1683237897
260,high river,50.5834,-113.8687,27.17,29,26,5.99,CA,1683237897
261,alcantara,-2.4089,-44.4147,29.11,90,44,3.49,BR,1683237897
262,zemio,5.0314,25.1361,22.66,66,42,1.13,CF,1683237897
263,naze,28.3667,129.4833,21.51,85,100,6.31,JP,1683237898
264,estevan,49.1334,-102.9842,23.19,23,0,4.12,CA,1683237621
265,tarakan,3.3,117.6333,25.72,94,20,1.54,ID,1683237898
266,east ballina,-28.8667,153.5833,15.44,69,27,2.78,AU,1683237898
267,flin flon,54.7682,-101.865,16.91,34,40,4.12,CA,1683237898
268,gongzhuling,43.5008,124.8198,12.69,31,100,7.58,CN,1683237899
269,mozarlandia,-14.7447,-50.5706,25.06,59,28,1.46,BR,1683237899
270,san antonio de pale,-1.4014,5.6325,28.25,74,72,1.89,GQ,1683237899
271,jacmel,18.2342,-72.5347,30.91,79,86,2.31,HT,1683237899
272,acapulco de juarez,16.8634,-99.8901,31.85,56,81,4.73,MX,1683237763
273,kerikeri,-35.2268,173.9474,19.39,95,100,0.89,NZ,1683237900
274,carnarvon,-24.8667,113.6333,22.01,72,26,5.61,AU,1683237900
275,vilyuchinsk,52.9306,158.4028,2.15,100,100,5.69,RU,1683237900
276,ardakan,32.31,54.0175,17.38,22,0,9.33,IR,1683237900
277,qamdo,31.1667,97.2333,0.76,58,33,2.42,CN,1683237900
278,mermoz boabab,14.7065,-17.4758,25.31,78,0,2.06,SN,1683237901
279,mogadishu,2.0371,45.3438,27.84,74,71,6.4,SO,1683237901
280,saint-denis,48.9167,2.3333,18.43,65,0,4.12,FR,1683237901
281,slave lake,55.2834,-114.769,25.58,31,75,4.19,CA,1683237901
282,freetown,8.484,-13.2299,26.84,83,40,4.12,SL,1683237614
283,lohja,60.2486,24.0653,2.32,72,78,3.19,FI,1683237902
284,bel ombre,-4.6167,55.4167,27.91,78,20,5.14,SC,1683237903
285,beyneu,45.3167,55.2,16.51,37,99,3.86,KZ,1683237903
286,papao,-17.75,-149.55,29.82,85,83,10.42,PF,1683237903
287,champoton,19.35,-90.7167,32.7,54,0,6.13,MX,1683237797
288,cockburn town,21.4612,-71.1419,27.34,79,96,5.18,TC,1683237904
289,palu,-0.8917,119.8707,24.95,93,99,1.58,ID,1683237906
290,port douglas,-16.4833,145.4667,24.6,70,70,4.7,AU,1683237906
291,lompoc,34.6391,-120.4579,17.51,68,75,5.81,US,1683237906
292,tyukalinsk,55.8732,72.1967,10.95,34,71,4.48,RU,1683237907
293,touros,-5.1989,-35.4608,25.53,88,45,3.91,BR,1683237907
294,barakani,-12.1356,44.4317,26.01,78,13,2.15,KM,1683237908
295,puerto deseado,-47.7503,-65.8938,9.63,72,0,3.57,AR,1683237908
296,new norfolk,-42.7826,147.0587,8.72,81,100,0.45,AU,1683237908
297,poxoreo,-15.8372,-54.3892,23.59,61,66,1.99,BR,1683237908
298,taitung city,22.7583,121.1444,25.49,74,48,1.33,TW,1683237908
299,yambio,4.5721,28.3955,22.15,82,82,1.11,SS,1683237909
300,acarau,-2.8856,-40.12,26.14,85,81,4.53,BR,1683237909
301,ariquemes,-9.9133,-63.0408,24.51,94,13,1.23,BR,1683237697
302,celestun,20.8667,-90.4,29.52,71,4,8.01,MX,1683237910
303,dwarka,22.2394,68.9678,26.76,79,14,4.44,IN,1683237910
304,pisco,-13.7,-76.2167,22.03,73,0,8.23,PE,1683237910
305,badr hunayn,23.7829,38.7905,27.17,49,96,0.69,SA,1683237910
306,guntakal junction,15.1667,77.3833,25.55,74,99,2.64,IN,1683237910
307,vadso,70.0744,29.7487,-1.51,80,40,5.14,NO,1683237911
308,adrar,20.5022,-10.0711,31.53,11,100,4.9,MR,1683237911
309,mhamid,29.82,-5.72,31.32,9,100,3.47,MA,1683237911
310,damghan,36.1683,54.348,10.49,54,58,3.5,IR,1683237912
311,rabo de peixe,37.8,-25.5833,16.73,100,75,7.2,PT,1683237912
312,ustyuzhna,58.8394,36.4321,1.14,75,81,3.08,RU,1683237912
313,el fasher,13.6279,25.3494,27.92,8,90,4.61,SD,1683237913
314,namibe,-15.1961,12.1522,23.72,71,4,1.23,AO,1683237913
315,opuwo,-18.0607,13.84,20.02,35,1,0.69,NA,1683237913
316,tafuna,-14.3358,-170.72,29.97,84,40,7.2,AS,1683237913
317,tosontsengel,48.7567,98.2839,-0.69,84,100,1.28,MN,1683237914
318,atar,20.5169,-13.0499,33.17,12,99,4.03,MR,1683237914
319,karratha,-20.7377,116.8463,25.47,37,100,3.41,AU,1683237914
